,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
58,81.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,2.7346742382,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
59,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-1.1248366925,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
60,80.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-1.4924994747,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
61,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
62,90.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.4458447233,-1.5048722977,-0.5955293361,-0.1756839051,2.2701602354,0.2007839982
63,5.0,-0.8687005920125036,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.4458447233,-1.5929104605,-0.7354758623,0.8056032415,2.3566515673,0.2007839982
64,75.0,-1.4070502546681396,-0.935601812799328,-0.171685708586216,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.4458447233,1.6278271925,0.1589934229,0.2061781494,1.1983316193,-0.3041093779
65,39.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.3664814033,0.1990375307,-0.0493726165,0.1399668747,0.1008691117,-0.9056949992
66,64.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-0.3664814033,-0.5547913427,0.6136151922,0.2632116237,0.7839108922,-0.5271782222
67,69.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
68,47.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,-0.3664814033,1.2023079752,1.4300153596,7.1291077532,0.4803982397,-1.4359580061
69,63.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,-0.3664814033,1.5654663045,0.9668343364,0.2056045369,0.548447923,-1.5269915974
70,9.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.3664814033,1.9909855218,-0.5539869703,-0.0862822954,0.7894065035,-0.620310231
71,29.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,-0.3664814033,2.6769513283,1.5319086426,-0.0444905254,0.7091484488,-1.6415086017
72,91.0,3.4380967092325845,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
73,33.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
74,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
75,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
76,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-1.1248366925,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
77,32.0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
78,46.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
79,36.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,-0.3897820659,1.5654663045,0.9668343364,0.2056045369,0.548447923,-1.5269915974
80,44.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,-0.3897820659,1.2023079752,1.4300153596,7.1291077532,0.4803982397,-1.4359580061
81,11.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.3897820659,-1.585574002,1.296283833,0.1200543255,1.4104105781,-0.7093161381
82,40.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,-0.3897820659,1.5654663045,0.9668343364,0.2056045369,0.5498494883,-1.3891562245
83,21.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,-0.3897820659,0.9528657437,1.1542111227,0.1335751923,1.3839652541,-1.2048727357
84,8.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,-0.3897820659,2.6769513283,1.5319086426,-0.0444905254,0.7091484488,-1.6415086017
85,17.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.3897820659,0.6043809918,-0.1839219062,0.0921112009,1.0948739708,-0.3526087557
86,37.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.3897820659,0.1990375307,-0.0493726165,0.1399668747,0.1008691117,-0.9056949992
87,21.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-0.3897820659,-0.5547913427,0.6136151922,0.2632116237,0.7839108922,-0.5271782222
88,21.0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
89,7.0,0.7463483959544044,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
90,0.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
91,2.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
92,14.0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3897820659,-1.3196245737,-0.5088464469,-0.0730892072,-0.0383284518,0.6619642746
93,86.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
94,67.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.4458447233,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
95,69.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3664814033,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
96,88.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.0129073938,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
97,80.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.3805264227,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
98,84.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.6761197134,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
99,79.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.3805264227,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
100,82.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1.6761197134,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
101,90.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3.1508349114,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
